neuromere,bodyId,group_var,major_class,subclass_level1,morphology_cluster,morphology_cluster_id,legacy_tag,type,instance,class,subclass,hemilineage,somaNeuromere,somaSide,rootSide,longTract,birthtime
T3L,25877,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B110,IN04B110_T3_L,intrinsic neuron,IR,04B,T3,LHS,,,secondary
T3L,26556,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B074,IN04B074_T3_L,intrinsic neuron,IR,04B,T3,LHS,,,secondary
T3L,27803,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B114,IN04B114_T3_L,intrinsic neuron,IR,04B,T3,LHS,,,secondary
T3L,27882,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B074,IN04B074_T3_L,intrinsic neuron,IR,04B,T3,LHS,,,secondary
T3L,28943,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B114,IN04B114_T3_L,intrinsic neuron,IR,04B,T3,LHS,,,secondary
T3L,30530,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B092,IN04B092_T3_L,intrinsic neuron,IR,04B,T3,LHS,,,secondary
T3L,159685,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B113,IN04B113_T3_L,intrinsic neuron,IR,04B,T3,LHS,,,secondary
T3L,164298,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B074,IN04B074_T3_L,intrinsic neuron,IR,04B,T3,LHS,,,secondary
T3L,27029,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B104,IN04B104_T3_L,intrinsic neuron,IR,04B,T3,LHS,,,secondary
T3L,22396,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B105,IN04B105_T3_L,intrinsic neuron,IR,04B,T3,LHS,,,secondary
T3L,16339,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B026,IN04B026_T3_L,intrinsic neuron,IR,04B,T3,LHS,,,secondary
T3L,19161,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B025,IN04B025_T3_L,intrinsic neuron,IR,04B,T3,LHS,,,secondary
T3L,18900,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B110,IN04B110_T3_L,intrinsic neuron,IR,04B,T3,LHS,,,secondary
T3L,21339,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B105,IN04B105_T3_L,intrinsic neuron,IR,04B,T3,LHS,,,secondary
T3L,30805,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B107,IN04B107_T3_L,intrinsic neuron,IR,04B,T3,LHS,,,secondary
