layer_name,segment_id,type,instance,class,subclass,description MANC,serialMotif,,,Description Jelly
MANC_v1.2.3_BA,17490,AN04B051,AN04B051_T1_L,ascending neuron,BA,pred ChAT,,,,"stretchy thin neuron, extends anterior and posterior  outside of T1"
MANC_v1.2.3_BI,11143,IN04B002,IN04B002_T1_L,intrinsic neuron,BI,pred ChAT,,,,fuzzy and estends into T2 and T3
MANC_v1.2.3_BI,14031,IN04B028,IN04B028_T1_L,intrinsic neuron,BI,,,,,fuzzy and estends into T2 and T4
MANC_v1.2.3_BI,15393,IN04B024,IN04B024_T1_L,intrinsic neuron,BI,20A? in T1 LHS,,,,fuzzy and estends into T2 and T5
MANC_v1.2.3_BI,15401,IN04B010,IN04B010_T1_L,intrinsic neuron,BI,20A in T1 LHS,,,,fuzzy and estends into T2 and T6
MANC_v1.2.3_BI,15969,IN04B028,IN04B028_T1_L,intrinsic neuron,BI,4B in T1 LHS,,,,fuzzy and estends into T2 and T7
MANC_v1.2.3_BI,16293,IN04B024,IN04B024_T1_L,intrinsic neuron,BI,20A in T1 LHS,,,,fuzzy and estends into T2 and T8
MANC_v1.2.3_IA,10314,AN04B001,AN04B001_T1_L,ascending neuron,IA,4B? primary in T1 LHS,complex,,,ascending and desendign neurites- outside of neuropil
MANC_v1.2.3_IA,13436,AN04B003,AN04B003_T1_L,ascending neuron,IA,,ascending,,,ascending and desendign neurites- outside of neuropil
MANC_v1.2.3_IA,17395,AN04B004,AN04B004_T1_L,ascending neuron,IA,pred ChAT; 4B in T1 LHS,complex,,,ascending and desendign neurites- outside of neuropil
MANC_v1.2.3_IA,19912,AN04B023,AN04B023_T1_L,ascending neuron,IA,1B? pred ChAT,ascending,,,ascending and desendign neurites- outside of neuropil
MANC_v1.2.3_br1,10024,IN04B041,IN04B041_T1_L,intrinsic neuron,BR,4B in T1 LHS,,,,"caudal medial nuclei, faciculation  crecent-shape crandio-caudal of medial side"
MANC_v1.2.3_br1,12523,IN04B008,IN04B008_T1_L,intrinsic neuron,BR,4B? in T1 LHS,independent leg,,,"caudal medial nuclei, faciculation  crecent-shape crandio-caudal of medial side"
MANC_v1.2.3_br1,15309,IN04B085,IN04B085_T1_L,intrinsic neuron,BR,4B? in T1 LHS,,,,"caudal medial nuclei, faciculation  crecent-shape crandio-caudal of medial side"
MANC_v1.2.3_br1,16487,IN04B041,IN04B041_T1_L,intrinsic neuron,BR,4B in T1 LHS,,,,"caudal medial nuclei, faciculation  crecent-shape crandio-caudal of medial side"
MANC_v1.2.3_br1,16527,IN04B039,IN04B039_T1_L,intrinsic neuron,BR,4B? in T1 LHS,,,,"caudal medial nuclei, faciculation  crecent-shape crandio-caudal of medial side"
MANC_v1.2.3_br1,17351,IN04B047,IN04B047_T1_L,intrinsic neuron,BR,4B in T1 LHS,,,,"caudal medial nuclei, faciculation  crecent-shape crandio-caudal of medial side"
MANC_v1.2.3_br1,17409,IN04B050,IN04B050_T1_L,intrinsic neuron,BR,4B in T1 LHS,,,,"caudal medial nuclei, faciculation  crecent-shape crandio-caudal of medial side"
MANC_v1.2.3_br1,17534,IN04B073,IN04B073_T1_L,intrinsic neuron,BR,4B? in T1 LHS,,,,"caudal medial nuclei, faciculation  crecent-shape crandio-caudal of medial side"
MANC_v1.2.3_br1,18571,IN04B050,IN04B050_T1_L,intrinsic neuron,BR,4B? in T1 LHS,,,,"caudal medial nuclei, faciculation  crecent-shape crandio-caudal of medial side"
MANC_v1.2.3_br1,21956,IN04B101,IN04B101_T1_L,intrinsic neuron,BR,4B? in T1 LHS; 1st pass ECM; may require cleave,,,,"caudal medial nuclei, faciculation  crecent-shape crandio-caudal of medial side"
