"bodyid","post","pre","downstream","upstream","synweight","class","description","entryNerve","exitNerve","group","name","longTract","ntAcetylcholineProb","ntGabaProb","ntGlutamateProb","ntUnknownProb","origin","location","locationType","predictedNtProb","prefix","rootLocation","rootSide","statusLabel","subclass","synonyms","systematicType","target","transmission","type","vfbId","avgLocation","birthtime","hemilineage","serial","serialMotif","somaNeuromere","somaSide","subcluster","modality","tag","cluster","receptorType","subclassabbr","tosomaLocation","source","somaLocation","status","totalNtPredictions","predictedNt","celltypeTotalNtPredictions","celltypePredictedNt","voxels","soma"
"13909",1062,446,3121,1062,4183,"intrinsic neuron","4B in T3 LHS","None",NA,13909,"IN04B068_T3_L",NA,0.789934396743774,0.0501752644777298,0.148742243647575,0.0111480867490172,"LegNpT3_L","21157,23904,11640","user",0.789934396743774,"IR","",NA,"Roughly traced","IR",NA,"IN04B068","LegNpT3_L",NA,"IN04B068","VFB_jrcv0aqd","21328,23494,11640","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"18445,23835,5948","Traced",446,"acetylcholine",5321,"acetylcholine",651305021,TRUE
"14217",1479,343,2252,1479,3731,"intrinsic neuron",NA,NA,NA,14217,"IN04B063_T3_L",NA,0.785711646080017,0.0721940919756889,0.138012066483498,0.00408221036195755,"LegNpT3_L","20225,19929,4006","soma",0.785711646080017,"IR","",NA,"Roughly traced","IR",NA,"IN04B063","LegNpT3_L",NA,"IN04B063","VFB_jrcv0ayx","","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"20225,19929,4006","Traced",343,"acetylcholine",1622,"acetylcholine",752163908,TRUE
"14353",2138,677,4525,2138,6663,"intrinsic neuron",NA,NA,NA,14353,"IN04B044_T3_L",NA,0.881931304931641,0.0266774035990238,0.0872990116477013,0.00409228540956974,"LegNpT3_L","19393,22299,4684","soma",0.88066840171814,"IR","",NA,"Roughly traced","IR",NA,"IN04B044","LegNpT3_L",NA,"IN04B044","VFB_jrcv0b2p","","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19393,22299,4684","Traced",677,"acetylcholine",2807,"acetylcholine",928494470,TRUE
"14612",1576,493,3781,1576,5357,"intrinsic neuron","4B in T3 LHS","None",NA,14612,"IN04B029_T3_L",NA,0.91553795337677,0.0271110292524099,0.0546633265912533,0.00268770451657474,"LegNpT3_L","21328,23494,11640","user",0.91553795337677,"BR","",NA,"Roughly traced","BR",NA,"IN04B029","LegNpT3_L",NA,"IN04B029","VFB_jrcv0b9w","21328,23494,11640","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19876,23688,5320","Traced",493,"acetylcholine",3225,"acetylcholine",917265571,TRUE
"14744",835,556,3622,835,4457,"intrinsic neuron","20A in T3 LHS","None",NA,14744,"IN04B032_T3_L",NA,0.854729235172272,0.0513943172991276,0.0889455899596214,0.00493087247014046,"LegNpT3_L","22522,17892,13301","user",0.854729235172272,"BR","",NA,"Roughly traced","BR",NA,"IN04B032","LegNpT3_L",NA,"IN04B032","VFB_jrcv0bdk","22634,18019,13301","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"20377,19367,3044","Traced",556,"acetylcholine",5133,"acetylcholine",1111689414,TRUE
"15231",1294,570,3652,1294,4946,"intrinsic neuron",NA,NA,NA,15163,"IN04B022_T3_L",NA,0.838009119033813,0.0671165063977242,0.0905067324638367,0.00436762440949678,"LegNpT3_L","20274,22574,4800","soma",0.836696326732635,"BR","",NA,"Roughly traced","BR",NA,"IN04B022","LegNpT3_L",NA,"IN04B022","VFB_jrcv0br3","","early secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"20274,22574,4800","Traced",570,"acetylcholine",2229,"acetylcholine",1049385004,TRUE
"152618",1524,390,2798,1524,4322,"intrinsic neuron","4B? in T3 LHS","None",NA,22981,"IN04B096_T3_L",NA,0.623171150684357,0.114647455513477,0.252514749765396,0.00966663658618927,"LegNpT3_L","21279,23642,11640","user",0.596048533916473,"IR","",NA,"Roughly traced","IR",NA,"IN04B096","LegNpT3_L",NA,"IN04B096","VFB_jrcv39re","21328,23494,11640","secondary","04B",NA,NA,"T3","LHS",NA,"proprioceptive_tactile",NA,NA,NA,NA,"",NA,"19713,23070,5718","Traced",390,"acetylcholine",1093,"acetylcholine",489116645,TRUE
"155758",692,307,1953,692,2645,"intrinsic neuron","20A? in T3 LHS","None",NA,22383,"IN04B105_T3_L",NA,0.803363859653473,0.060831855982542,0.130397140979767,0.0054071256890893,"LegNpT3_L","22605,17939,13301","user",0.803363859653473,"IR","",NA,"Roughly traced","IR",NA,"IN04B105","LegNpT3_L",NA,"IN04B105","VFB_jrcv3c6m","22634,18019,13301","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"21536,20200,2192","Traced",307,"acetylcholine",1948,"acetylcholine",452920523,TRUE
"156679",1134,399,2600,1134,3734,"intrinsic neuron","20A? in T3 LHS","None",NA,19090,"IN04B076_T3_L",NA,0.889142096042633,0.0283901635557413,0.0758292451500893,0.00663848547264934,"LegNpT3_L","22693,18271,13301","user",0.889142096042633,"BR","",NA,"Roughly traced","BR",NA,"IN04B076","LegNpT3_L",NA,"IN04B076","VFB_jrcv3cw7","22634,18019,13301","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19474,18979,3354","Traced",399,"acetylcholine",1527,"acetylcholine",680851963,TRUE
"15968",1056,385,2441,1056,3497,"intrinsic neuron","20A in T3 LHS","None",NA,14830,"IN04B060_T3_L",NA,0.884443700313568,0.0261462647467852,0.0774743258953094,0.0119357295334339,"LegNpT3_L","22575,18027,13301","user",0.883565604686737,"BR","",NA,"Roughly traced","BR",NA,"IN04B060","LegNpT3_L",NA,"IN04B060","VFB_jrcv0cbk","22634,18019,13301","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"20604,18926,4645","Traced",385,"acetylcholine",2455,"acetylcholine",656998710,TRUE
"159685",902,191,1297,902,2199,"intrinsic neuron","20A? in T3 LHS","None",NA,159685,"IN04B113_T3_L",NA,0.704333364963531,0.0976744815707207,0.193246722221375,0.00474541960284114,"LegNpT3_L","22673,17954,13301","user",0.704333364963531,"IR","",NA,"Roughly traced","IR",NA,"IN04B113","LegNpT3_L",NA,"IN04B113","VFB_jrcv3f7p","22634,18019,13301","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19807,19790,2663","Traced",191,"acetylcholine",372,"acetylcholine",352080958,TRUE
"15999",878,576,3869,878,4747,"intrinsic neuron","20A in T3 LHS","None",NA,14744,"IN04B032_T3_L",NA,0.835719883441925,0.0619392395019531,0.0939485058188438,0.00839234236627817,"LegNpT3_L","22528,17817,13301","user",0.835719883441925,"BR","",NA,"Roughly traced","BR",NA,"IN04B032","LegNpT3_L",NA,"IN04B032","VFB_jrcv0ccf","22634,18019,13301","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19820,19111,3194","Traced",576,"acetylcholine",5133,"acetylcholine",914646328,TRUE
