"bodyid","post","pre","downstream","upstream","synweight","class","description","entryNerve","exitNerve","group","name","longTract","ntAcetylcholineProb","ntGabaProb","ntGlutamateProb","ntUnknownProb","origin","location","locationType","predictedNtProb","prefix","rootLocation","rootSide","statusLabel","subclass","synonyms","systematicType","target","transmission","type","vfbId","avgLocation","birthtime","hemilineage","serial","serialMotif","somaNeuromere","somaSide","subcluster","modality","tag","cluster","receptorType","subclassabbr","tosomaLocation","source","somaLocation","status","totalNtPredictions","predictedNt","celltypeTotalNtPredictions","celltypePredictedNt","voxels","soma"
"100579",1190,349,2448,1190,3638,"intrinsic neuron",NA,NA,NA,14886,"IN04B091_T1_R",NA,0.844402074813843,0.0411240682005882,0.109361536800861,0.00511229550465941,"LegNpT1_R","29442,41706,44178","soma",0.846692860126495,"IR","",NA,"Roughly traced","IR",NA,"IN04B091","LegNpT1_R",NA,"IN04B091","VFB_jrcv25lv","","secondary","04B",NA,NA,"T1","RHS",14886,NA,NA,NA,NA,NA,"",NA,"29442,41706,44178","Traced",349,"acetylcholine",1902,"acetylcholine",663975760,TRUE
"101895",2435,403,2067,2435,4502,"intrinsic neuron","4B? in T1 RHS","None",NA,17678,"IN04B031_T1_R",NA,0.569367587566376,0.11816480755806,0.304234355688095,0.00823326595127583,"LegNpT1_R","25489,42390,45879","user",0.564230501651764,"IR","",NA,"Roughly traced","IR",NA,"IN04B031","LegNpT1_R",NA,"IN04B031","VFB_jrcv26mf","25488,42159,46019","early secondary","04B",NA,NA,"T1","RHS",NA,NA,NA,NA,NA,NA,"",NA,"25994,42510,45884","Traced",403,"acetylcholine",3768,"acetylcholine",833176366,TRUE
"102322",2066,582,4048,2066,6114,"intrinsic neuron","4B in T1 RHS","None",NA,16757,"IN04B034_T1_R",NA,0.886151909828186,0.0258851852267981,0.0786097124218941,0.00935318507254124,"LegNpT1_R","25488,42195,46050","user",0.886151909828186,"IR","",NA,"Roughly traced","IR",NA,"IN04B034","LegNpT1_R",NA,"IN04B034","VFB_jrcv26ya","25488,42159,46019","early secondary","04B",NA,NA,"T1","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23147,41488,46772","Traced",582,"acetylcholine",2365,"acetylcholine",831584919,TRUE
"102697",1040,341,2277,1040,3317,"intrinsic neuron","16B in T1 RHS","None",NA,14886,"IN04B091_T1_R",NA,0.83693265914917,0.041648481041193,0.112778432667255,0.00864043645560741,"LegNpT1_R","33147,42448,51099","user",0.833477854728699,"IR","",NA,"Roughly traced","IR",NA,"IN04B091","LegNpT1_R",NA,"IN04B091","VFB_jrcv278p","28562,38098,58643","secondary","04B",NA,NA,"T1","RHS",14886,NA,NA,NA,NA,NA,"",NA,"24737,42013,45392","Traced",341,"acetylcholine",1902,"acetylcholine",655613044,TRUE
"103220",2441,941,6443,2441,8884,"intrinsic neuron","1B?? in T1 RHS",NA,"None",14389,"IN04B014_T1_R",NA,0.911282002925873,0.0155251249670982,0.066419817507267,0.00677303830161691,"LegNpT1_R","22755,42313,50538","soma",0.911282002925873,"IR","",NA,"Roughly traced","IR",NA,"IN04B014","LegNpT1_R",NA,"IN04B014","VFB_jrcv27n8","","early secondary","04B",NA,NA,"T1","RHS",NA,NA,NA,NA,NA,NA,"",NA,"22755,42313,50538","Traced",941,"acetylcholine",1854,"acetylcholine",1095647767,TRUE
"10413",9440,1649,14205,9440,23645,"ascending neuron","Enter with 1B but match ""4B"" ANs on LHS","None","CvC",10314,"AN04B001_T1_R","DLV",0.905277907848358,0.0269756987690926,0.0621693879365921,0.00557697983458638,"LegNpT1_R","25495,37753,67070","user",0.903634309768677,"IA","","RHS","Roughly traced","IA",NA,"AN04B001","LegNpT2_R. LegNpT3_R",NA,"AN04B001","VFB_jrcv0819","","early secondary","04B",10179,"complex","T1","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23904,41906,54022","Traced",1649,"acetylcholine",8092,"acetylcholine",4651874535,TRUE
"11081",3839,1836,12492,3839,16331,"intrinsic neuron","ECM; pred ChAT",NA,"None",11081,"IN04B002_T1_R",NA,0.96456515789032,0.00950356665998697,0.0222017541527748,0.00372952525503933,"multi","22775,42318,49361","soma",0.96456515789032,"BI","",NA,"Roughly traced","BI",NA,"IN04B002","multi",NA,"IN04B002","VFB_jrcv08jt","","primary","04B",NA,NA,"T1","RHS",NA,NA,NA,NA,NA,NA,"",NA,"22775,42318,49361","Traced",1836,"acetylcholine",3688,"acetylcholine",2839240260,TRUE
"11885",3070,1614,11635,3070,14705,"ascending neuron","1B? or 4B? in T1 RHS; pred ChAT","None","CvC",11885,"AN04B004_T1_R","DLV",0.942868292331696,0.0125873349606991,0.0395484194159508,0.00499594211578369,"LegNpT1_R","25513,37590,67070","user",0.942868292331696,"IA","","RHS","Roughly traced","IA",NA,"AN04B004","LegNpT1_R.LegNpT3_R",NA,"AN04B004","VFB_jrcv0965","","primary","04B",11350,"complex","T1","RHS",NA,NA,NA,NA,NA,NA,"",NA,"22742,42123,48624","Traced",1614,"acetylcholine",3155,"acetylcholine",2229448112,TRUE
"12132",1372,322,2113,1372,3485,"intrinsic neuron","20A? in T1 RHS","None",NA,12132,"IN04B086_T1_R",NA,0.889554560184479,0.0430905148386955,0.0636239647865295,0.00373093434609473,"LegNpT1_R","33170,37553,45806","user",0.889554560184479,"BR","",NA,"Roughly traced","BR",NA,"IN04B086","LegNpT1_R",NA,"IN04B086","VFB_jrcv09d0","32874,37553,46156","secondary","04B",NA,NA,"T1","RHS",NA,NA,NA,NA,NA,NA,"",NA,"26305,41965,44559","Traced",322,"acetylcholine",642,"acetylcholine",579262086,TRUE
"12949",1548,883,5988,1548,7536,"intrinsic neuron","20A in T1 RHS","None",NA,12949,"IN04B010_T1_R",NA,0.902545571327209,0.0200705677270889,0.069111168384552,0.00827270839363337,"LegNpT1_R","32874,37553,46156","user",0.902545571327209,"BR","",NA,"Roughly traced","BR",NA,"IN04B010","LegNpT1_R",NA,"IN04B010","VFB_jrcv09zp","32874,37553,46156","secondary","04B",NA,NA,"T1","RHS",NA,NA,NA,NA,NA,NA,"",NA,"33472,41067,43863","Traced",883,"acetylcholine",4815,"acetylcholine",1352603169,TRUE
"13154",2022,608,4171,2022,6193,"intrinsic neuron","20A in T1 RHS","None",NA,13154,"IN04B013_T1_R",NA,0.83762538433075,0.0365116186439991,0.122718423604965,0.00314456666819751,"LegNpT1_R","32991,37553,46127","user",0.83762538433075,"BR","",NA,"Roughly traced","BR",NA,"IN04B013","LegNpT1_R",NA,"IN04B013","VFB_jrcv0a5e","32874,37553,46156","secondary","04B",NA,NA,"T1","RHS",13154,NA,NA,NA,NA,NA,"",NA,"32608,40737,44278","Traced",608,"acetylcholine",4137,"acetylcholine",1462401764,TRUE
"13414",2118,360,1974,2118,4092,"ascending neuron",NA,"None","CvC",13414,"AN04B003_T1_R","none",0.945542454719543,0.0123908603563905,0.0267638638615608,0.0153028080239892,"LegNpT1_R","24305,36588,67070","user",0.945542454719543,"IA","","RHS","Roughly traced","IA",NA,"AN04B003","LegNpT1_R",NA,"AN04B003","VFB_jrcv0acm","","primary","04B",10394,"ascending","T1","RHS",NA,NA,NA,NA,NA,NA,"",NA,"29334,41734,42442","Traced",360,"acetylcholine",4145,"acetylcholine",1674619007,TRUE
"13465",1826,811,4890,1826,6716,"intrinsic neuron","20A? in T1 RHS","None",NA,13465,"IN04B026_T1_R",NA,0.835305571556091,0.0426599308848381,0.114046908915043,0.00798758026212454,"LegNpT1_R","32859,37553,46105","user",0.834439933300018,"IR","",NA,"Roughly traced","IR",NA,"IN04B026","LegNpT1_R",NA,"IN04B026","VFB_jrcv0ae1","32874,37553,46156","secondary","04B",13465,"independent leg","T1","RHS",NA,NA,NA,NA,NA,NA,"",NA,"31753,41094,43936","Traced",811,"acetylcholine",3520,"acetylcholine",1415135204,TRUE
"13968",1306,485,3309,1306,4615,"intrinsic neuron","20A in T1 RHS","None",NA,13506,"IN04B013_T1_R",NA,0.841236591339111,0.0286613814532757,0.124924905598164,0.00517710205167532,"LegNpT1_R","32797,37553,46107","user",0.841236591339111,"BR","",NA,"Roughly traced","BR",NA,"IN04B013","LegNpT1_R",NA,"IN04B013","VFB_jrcv0as0","32874,37553,46156","secondary","04B",NA,NA,"T1","RHS",13154,NA,NA,NA,NA,NA,"",NA,"31678,41952,43362","Traced",485,"acetylcholine",4137,"acetylcholine",964254069,TRUE
"14088",2391,612,3977,2391,6368,"intrinsic neuron","20A in T1 RHS","None",NA,13798,"IN04B009_T1_R",NA,0.771277129650116,0.0402475036680698,0.181728824973106,0.00674652075394988,"LegNpT1_R","32995,37553,46077","user",0.770018935203552,"IR","",NA,"Roughly traced","IR",NA,"IN04B009","LegNpT1_R",NA,"IN04B009","VFB_jrcv0avc","32874,37553,46156","secondary","04B",NA,NA,"T1","RHS",13154,NA,NA,NA,NA,NA,"",NA,"34531,40393,45101","Traced",612,"acetylcholine",3657,"acetylcholine",1468739415,TRUE
"14098",1384,335,2303,1384,3687,"intrinsic neuron","4B in T1 RHS","None",NA,14098,"IN04B100_T1_R",NA,0.780333936214447,0.0406351312994957,0.17140232026577,0.00762861035764217,"LegNpT1_R","25489,42199,45963","user",0.780333936214447,"IR","",NA,"Roughly traced","IR",NA,"IN04B100","LegNpT1_R",NA,"IN04B100","VFB_jrcv0avm","25488,42159,46019","secondary","04B",14098,"independent leg","T1","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23313,41813,47167","Traced",335,"acetylcholine",8209,"acetylcholine",546023316,TRUE
