"bodyid","post","pre","downstream","upstream","synweight","class","description","entryNerve","exitNerve","group","name","longTract","ntAcetylcholineProb","ntGabaProb","ntGlutamateProb","ntUnknownProb","origin","location","locationType","predictedNtProb","prefix","rootLocation","rootSide","statusLabel","subclass","synonyms","systematicType","target","transmission","type","vfbId","avgLocation","birthtime","hemilineage","serial","serialMotif","somaNeuromere","somaSide","subcluster","modality","tag","cluster","receptorType","subclassabbr","tosomaLocation","source","somaLocation","status","totalNtPredictions","predictedNt","celltypeTotalNtPredictions","celltypePredictedNt","voxels","soma"
"10024",1453,505,3710,1453,5163,"intrinsic neuron","4B in T1 LHS","None",NA,10024,"IN04B041_T1_L",NA,0.927288472652435,0.00775470491498709,0.0600415877997875,0.0049152453429997,"LegNpT1_L","16928,40222,47129","user",0.927288472652435,"BR","",NA,"Roughly traced","BR",NA,"IN04B041","LegNpT1_L",NA,"IN04B041","VFB_jrcv07qg","16928,40392,47257","secondary","04B",NA,NA,"T1","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19862,41151,48363","Traced",505,"acetylcholine",1841,"acetylcholine",832590779,TRUE
"100339",759,677,4652,759,5411,"intrinsic neuron","4B in T1 LHS","None",NA,16938,"IN04B078_T1_L",NA,0.919547021389008,0.0295598562806845,0.0375136360526085,0.0133795011788607,"LegNpT1_L","16927,40880,48004","user",0.919547021389008,"IR","",NA,"Roughly traced","IR",NA,"IN04B078","LegNpT1_L",NA,"IN04B078","VFB_jrcv25f7","16928,40392,47257","secondary","04B",18857,"independent leg","T1","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19907,40936,48972","Traced",677,"acetylcholine",8163,"acetylcholine",697166921,TRUE
"100525",279,210,1581,279,1860,"intrinsic neuron","9A? in T1 LHS","None",NA,14886,"IN04B091_T1_L",NA,0.518417954444885,0.0735975727438927,0.397149264812469,0.0108352107927203,"LegNpT1_L","11017,37044,50957","user",0.53211522102356,"IR","",NA,"Roughly traced","IR",NA,"IN04B091","LegNpT1_L",NA,"IN04B091","VFB_jrcv25kd","18951,36576,57782","secondary","04B",NA,NA,"T1","LHS",14886,NA,NA,NA,NA,NA,"",NA,"19796,41352,51830","Traced",210,"acetylcholine",1902,"acetylcholine",295121327,TRUE
"101447",1208,307,2109,1208,3317,"intrinsic neuron","4B in T1 LHS","None",NA,17534,"IN04B073_T1_L",NA,0.896939754486084,0.0529767088592052,0.0475525297224522,0.00253098248504102,"LegNpT1_L","16930,39716,46322","user",0.894038677215576,"BR","",NA,"Roughly traced","BR",NA,"IN04B073","LegNpT1_L",NA,"IN04B073","VFB_jrcv269z","16928,40392,47257","secondary","04B",NA,NA,"T1","LHS",16253,NA,NA,NA,NA,NA,"",NA,"20088,41152,47480","Traced",307,"acetylcholine",1453,"acetylcholine",607992384,TRUE
"101453",1776,457,3406,1776,5182,"intrinsic neuron","4B in T1 LHS","None",NA,19167,"IN04B053_T1_L",NA,0.918015599250793,0.0183101743459702,0.0540021322667599,0.00967210996896029,"LegNpT1_L","16927,40792,47968","user",0.918015599250793,"IR","",NA,"Roughly traced","IR",NA,"IN04B053","LegNpT1_L",NA,"IN04B053","VFB_jrcv26a5","16928,40392,47257","early secondary","04B",NA,NA,"T1","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19308,40989,54415","Traced",457,"acetylcholine",936,"acetylcholine",797607225,TRUE
"102138",928,499,3782,928,4710,"intrinsic neuron","4B? in T1 LHS","None",NA,18802,"IN04B085_T1_L",NA,0.476821005344391,0.0822909623384476,0.416341871023178,0.024546142667532,"LegNpT1_L","16930,39763,46388","user",0.476821005344391,"IR","",NA,"RT Orphan","IR",NA,"IN04B085","LegNpT1_L",NA,"IN04B085","VFB_jrcv26t6","16928,40392,47257","secondary","04B",NA,NA,"T1","LHS",16626,NA,NA,NA,NA,NA,"",NA,"20026,40904,46710","Traced",499,"acetylcholine",2505,"acetylcholine",392862814,TRUE
"102536",1854,341,2184,1854,4038,"intrinsic neuron","20A? in T1 LHS","None",NA,16224,"IN04B092_T1_L",NA,0.600967228412628,0.115565106272697,0.277153491973877,0.00631413655355573,"LegNpT1_L","12002,33516,47244","user",0.600967228412628,"IR","",NA,"Roughly traced","IR",NA,"IN04B092","LegNpT1_L",NA,"IN04B092","VFB_jrcv2748","11855,33516,47329","secondary","04B",16224,"independent leg","T1","LHS",NA,NA,NA,NA,NA,NA,"",NA,"18692,40313,46716","Traced",341,"acetylcholine",2116,"acetylcholine",696483594,TRUE
"10314",9500,1821,16147,9500,25647,"ascending neuron","4B? primary in T1 LHS","None","CvC",10314,"AN04B001_T1_L","DLV",0.891893625259399,0.027051230892539,0.0772399231791496,0.00381521531380713,"LegNpT1_L","20993,37078,67070","user",0.891893625259399,"IA","","LHS","Roughly traced","IA",NA,"AN04B001","LegNpT2_L. LegNpT3_L",NA,"AN04B001","VFB_jrcv07yi","","early secondary","04B",10179,"complex","T1","LHS",NA,NA,NA,NA,NA,NA,"",NA,"20313,40796,48040","Traced",1821,"acetylcholine",8092,"acetylcholine",4731479506,TRUE
"11143",4444,1852,13288,4444,17732,"intrinsic neuron","pred ChAT",NA,NA,11081,"IN04B002_T1_L",NA,0.956956028938293,0.0163643322885036,0.0225828122347593,0.00409682095050812,"multi","19696,39866,46597","soma",0.956956028938293,"BI","",NA,"Roughly traced","BI",NA,"IN04B002","multi",NA,"IN04B002","VFB_jrcv08lj","","primary","04B",NA,NA,"T1","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19696,39866,46597","Traced",1852,"acetylcholine",3688,"acetylcholine",2757914751,TRUE
"12523",3440,892,6218,3440,9658,"intrinsic neuron","4B? in T1 LHS","None",NA,12523,"IN04B008_T1_L",NA,0.906980156898499,0.0150981741026044,0.073000431060791,0.00492122024297714,"LegNpT1_L","16929,39922,46850","user",0.906980156898499,"BR","",NA,"Roughly traced","BR",NA,"IN04B008","LegNpT1_L",NA,"IN04B008","VFB_jrcv09nv","16928,40392,47257","primary","04B",11945,"independent leg","T1","LHS",NA,NA,NA,NA,NA,NA,"",NA,"21326,41579,46877","Traced",892,"acetylcholine",6074,"acetylcholine",1781992939,TRUE
